# File generated by PiHelper. Please see the project web site for further details on data use terms.
# Exporter: DrugTargetExporter
# Time: 2014.07.15 at 02:17:00 EDT
PiHelper_DrugTarget_ID	HGNC_Symbol	Drug_Name	DataSources	References
1	F2	Lepirudin	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:10505536;PubMed:10912644;PubMed:11467439;PubMed:11752352;PubMed:21804595;PubMed:11807012;PubMed:11055889
2	EGFR	Cetuximab	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:11408594;PubMed:10601294;PubMed:10628369;PubMed:11752352;PubMed:10480573;PubMed:11431346;PubMed:21804595
3	FCGR3B	Cetuximab	DrugBank	PubMed:16336752
4	C1R	Cetuximab	DrugBank	PubMed:17016423;PubMed:17139284
5	C1QA	Cetuximab	DrugBank	PubMed:17016423;PubMed:17139284
6	C1QB	Cetuximab	DrugBank	PubMed:17016423;PubMed:17139284
7	C1QC	Cetuximab	DrugBank	PubMed:17016423;PubMed:17139284
8	FCGR3A	Cetuximab	DrugBank	PubMed:17016423;PubMed:17704420;PubMed:17139284
9	C1S	Cetuximab	DrugBank	PubMed:17016423;PubMed:17139284
10	FCGR1A	Cetuximab	DrugBank	PubMed:7547242
11	FCGR2A	Cetuximab	DrugBank	PubMed:17016423;PubMed:17704420;PubMed:17139284
12	FCGR2B	Cetuximab	DrugBank	PubMed:17016423;PubMed:17139284
13	FCGR2C	Cetuximab	DrugBank	PubMed:17016423;PubMed:17139284
14	IL2RA	Denileukin diftitox	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:17187516;PubMed:18684057;PubMed:2786749;PubMed:11752352;PubMed:3124610;PubMed:21804595;PubMed:17139284
15	IL2RB	Denileukin diftitox	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:16516670;PubMed:17187516;PubMed:18684057;PubMed:15811959;PubMed:11752352;PubMed:21804595
16	IL2RG	Denileukin diftitox	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:11707860;PubMed:16516670;PubMed:15811959;PubMed:21804595
17	TNF	Etanercept	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:10357816;PubMed:10405518;PubMed:10338381;PubMed:10206649;PubMed:10375846;PubMed:11752352;PubMed:21804595
18	TNFRSF1B	Etanercept	DrugBank	PubMed:11752352
19	FCGR1A	Etanercept	DrugBank	PubMed:17016423;PubMed:17139284
20	FCGR3A	Etanercept	DrugBank	PubMed:15457442;PubMed:15526004
21	FCGR2A	Etanercept	DrugBank	PubMed:15457442;PubMed:15526004
22	FCGR2B	Etanercept	DrugBank	PubMed:17016423;PubMed:17139284
23	FCGR2C	Etanercept	DrugBank	PubMed:7535196;PubMed:10800083
24	LTA	Etanercept	DrugBank;KEGG Drugs	PubMed:15033655;PubMed:15005015;PubMed:1328224;PubMed:15695296;PubMed:11302411
25	FCGR3B	Etanercept	DrugBank	PubMed:17387033;PubMed:15457442;PubMed:10800083;PubMed:15526004
26	C1S	Etanercept	DrugBank	PubMed:17016423;PubMed:17139284
27	C1R	Etanercept	DrugBank	PubMed:17016423;PubMed:17139284
28	C1QA	Etanercept	DrugBank	PubMed:17016423;PubMed:17139284
29	C1QB	Etanercept	DrugBank	PubMed:17016423;PubMed:17139284
30	C1QC	Etanercept	DrugBank	PubMed:17016423;PubMed:17139284
31	F2	Bivalirudin	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:11504570;PubMed:11929334;PubMed:11752352;PubMed:11833835;PubMed:11923794;PubMed:21804595;PubMed:11060732
