Preferred ID	All IDs possible	Symbols	Sites	Effect
14-3-3-beta	14-3-3-beta X1433BETA	YWHAB		
14-3-3-epsilon	14-3-3-epsilon X1433EPSILON	YWHAE		
14-3-3-zeta	X1433ZETA 14-3-3-zeta	YWHAZ		
4E-BP1	4E-BP1 X4EBP1	EIF4EBP1		
4E-BP1_pS65	X4EBP1_pS65 4E-BP1_pS65	EIF4EBP1	S65	i
4E-BP1_pT37_T46	4E-BP1_pT37_T46	EIF4EBP1	T37|T46	i
53BP1	X53BP1 53BP1	TP53BP1		
A-Raf	A-Raf ARAF	ARAF		
A-Raf_pS299	A-Raf_pS299	ARAF	S299	a
ACC1	ACC1	ACACA		
ACC_pS79	ACC_pS79	ACACA ACACB	S79|S80 S222	a
ACSL1	ACSL1	ACSL1		
ACVRL1	ACVRL1	ACVRL1		
ACLY_pS455	ACLY_pS455	ACYL	S455	a
ADAR1	ADAR1	ADAR		
AMPK-a2_pS345	AMPK-a2_pS345	PRKAA2	S345	
AMPKa	AMPKa AMPKALPHA	PRKAA1		
AMPKa_pT172	AMPKALPHA_pT172 AMPKa_pT172	PRKAA1	T172|S172	a
AR	AR	AR		
ARID1A	ARID1A	ARID1A		
ATM	ATM	ATM		
ATM_pS1981	ATM_pS1981	ATM	S1981	a
ATRX	ATRX	ATRX		
ATR_pS428	ATR_pS428	ATR		
Akt	AKT Akt	AKT1 AKT2 AKT3		
Akt_pS473	Akt_pS473 AKT_pS473 AKTpS473	AKT1 AKT2 AKT3	S473 S474 S472	a
Akt_pT308	AKT_pT308 Akt_pT308 AKTpT308	AKT1 AKT2 AKT3	T308 T309 T305	a
Akt1	Akt1	AKT1		
Akt1_pS473	Akt1_pS473	AKT1	S473	a
Akt2	Akt2	AKT2		
Akt2_pS474	Akt2_pS474	AKT2	S474	a
Ambra1_pS52	Ambra1_pS52	AMBRA1	S52	i
Annexin-I	Annexin-I ANNEXIN1	ANXA1		
Annexin-VII	ANNEXINVII Annexin-VII	ANXA7		
Atg3	Atg3	ATG3		
Atg7	Atg7	ATG7		
Aurora-B	Aurora-B	AIM1	
Aurora-ABC_pT288_pT232_pT198	Aurora-ABC_pT288_pT232_pT198	AURKA AURKB AURKC	T288 T232 T198	a
Axl	Axl AXL	AXL		
B-Raf	BRAF B-Raf	BRAF		
B-Raf_pS445	BRAF_pS445 B-Raf_pS445	BRAF	S445|S446	a
B7-H4	B7-H4	VTCN1		
BAP1	BAP1C4 BAP1	BAP1		
BRD4	BRD4	BRD4		
Bad_pS112	BAD_pS112 Bad_pS112	BAD	S112|S118	a
Bak	BAK Bak	BAK1		
Bax	Bax BAX	BAX		
Bcl-xL	Bcl-xL BCLXL	BCL2L1		
Bcl2	Bcl2 BCL2	BCL2		
Bcl2A1	Bcl2A1 BCL2A1	BCL2A1		
Beclin	BECLIN Beclin	BECN1		
BiP-GRP78	BiP-GRP78	HSPA5		
Bid	Bid BID	BID		
Bim	Bim BIM	BCL2L11		
C-Raf	C-Raf CRAF	RAF1		
C-Raf_pS338	C-Raf_pS338 CRAF_pS338	RAF1	S338	a
CD134	CD134	TNFRSF4		
CD171	CD171	L1CAM		
CD20	CD20	MS4A1		
CD26	CD26	DPP4		
CD29	CD29	ITGB1		
CD31	CD31	PECAM1		
CD5	CD5	CD5
CD4	CD4	CD4		
CD44	CD44	CD44		
CD45	CD45	PTPRC		
CD49b	CD49b CD49B	ITGA2		
CD74	CD74	CD74
CDK1	CDK1 CDC2	CDK1		
cdc2_pY15	cdc2_pY15	CDK1	Y15	i
CDK1_pT14	CDK1_pT14	CDK1 CDK2 CDK3	T14 T14 T14	i
Cdc42	Cdc42	RAC1 CDC42		
CHD1L	CHD1L	CHD1L
COG3	COG3	COG3		
Caspase-3	CASPASE3 Caspase-3	CASP3		
Caspase-7-cleaved	Caspase-7-cleaved- CASPASE7CLEAVEDD198 Caspase-7-cleaved	CASP7		
Caspase-8	Caspase-8	CASP8		
Caveolin-1	Caveolin-1 CAVEOLIN1	CAV1		
Cdc2_pY15	Cdc2_pY15 CDK1_pY15	CDK1	Y15	i
Chk1	CHK1 Chk1	CHEK1		
Chk1_pS296	CHK1_pS296 Chk1_pS296	CHEK1	S296	a
Chk1_pS345	Chk1_pS345	CHEK1	S345	a
Chk2	CHK2 Chk2	CHEK2		
Chk2_pT68	Chk2_pT68 CHK2_pT68	CHEK2	T68	a
Claudin-7	CLAUDIN7 Claudin-7	CLDN7		
Collagen-VI	COLLAGENVI Collagen-VI	COL6A1		
Connexin-43	Connexin-43	GJA1		
Cox-IV	Cox-IV	COX4I1		
Cox2	Cox2	CMC2		
Creb	Creb	CREB1		
CREB_pS133	CREB_pS133	CREB1	S133	a
Cyclin-B1	CYCLINB1 Cyclin-B1	CCNB1		
Cyclin-D1	Cyclin-D1 CYCLIND1	CCND1		
Cyclin-D3	Cyclin-D3	CCND3		
Cyclin-E1	Cyclin-E1 CYCLINE1	CCNE1		
Cyclophilin-F	Cyclophilin-F	PPIF		
D-a-Tubulin	D-a-Tubulin ACETYLATUBULINLYS40	TUBA1A TUBA1B TUBA1C TUBA3C TUBA3D TUBA3E TUBA4A TUBA8		
DM-K9-Histone-H3	DM-K9-Histone-H3	H3K9ME2
DM-Histone-H3	DM-Histone-H3	HIST1H3A
DJ1	DJ1	PARK7		
DUSP4	DUSP4	DUSP4		
E-Cadherin	E-Cadherin ECADHERIN	CDH1		
E2F1	E2F1	E2F1		
EGFR	EGFR	EGFR		
EGFR_pY1173	EGFR_pY1173	EGFR	Y1173|Y1172	a
EMA	EMA	MUC1		
ENY2	ENY2	ENY2		
ER	ER-a ERALPHA ER	ESR1		
ER-a_pS118	ER-a_pS118 ERALPHA_pS118	ESR1	S118	a
ERCC1	ERCC1	ERCC1		
ERCC5	ERCC5	ERCC5		
Elk1_pS383	Elk1_pS383	ELK1		
